,TYPE,WDPAID,WDPA_PID,NAME,REP_M_AREA,STATUS_YR,PARENT_ISO3
3306,Polygon,15776,15776,Endla Looduskaitseala,0.0,2006,EST
3307,Polygon,1646,1646,Lahemaa Rahvuspark,0.0,2015,EST
3942,Polygon,151051,151051,Pirunpesän Luonnonsuojelualue,0.0,2005,FIN
3976,Polygon,151052,151052,Tiirismaan Puronvarsilehdon Luonnonsuojelualue,0.0,2005,FIN
4145,Polygon,655,655,Pallas-Yllästunturin Kansallispuisto,0.0,2004,FIN
4146,Polygon,657,657,Pyhä-Luoston Kansallispuisto,0.0,2005,FIN
4357,Polygon,11099,11099,Portrush,0.0,2010,GBR
4526,Polygon,1685,1685,Žuvinto Biosferos Rezervatas,0.0,2002,LTU
4540,Polygon,11090,11090,Gower Coast,0.0,2002,GBR
4556,Polygon,11081,11081,Cors Bodeilio,0.0,2013,GBR
4558,Polygon,11083,11083,Cors Erddreiniog,0.0,2013,GBR
4559,Polygon,11084,11084,Cors Geirch,0.0,2013,GBR
5093,Polygon,139436,139436,Coedydd Nanmor,0.0,2001,GBR
5351,Polygon,11116,11116,Killard,0.0,2010,GBR
5362,Polygon,136838,136838,Blagrove Common,0.0,2000,GBR
5831,Polygon,137467,137467,"Pry And Bottom Meadows, Mid Mossdale",0.0,2000,GBR
6087,Polygon,11085,11085,Craig Cerrig Gleisiad A Fan Frynych,0.0,2002,GBR
6219,Polygon,11133,11133,Ballynahone Bog,0.0,2000,GBR
6530,Polygon,137492,137492,Peter'S Pit,0.0,2000,GBR
7511,Polygon,9906,9906,Femundslia,0.0,2003,NOR
7681,Polygon,684,684,Þingvellir,0.0,2004,ISL
7682,Polygon,1552,1552,Kringilsárrani,0.0,2003,ISL
7683,Polygon,1553,1553,Surtsey,0.0,2006,ISL
7689,Polygon,4432,4432,Húsafellsskógur,0.0,2001,ISL
7690,Polygon,4433,4433,Ingólfshöfði,0.0,2006,ISL
7713,Polygon,4461,4461,Álfaborg,0.0,2003,ISL
7860,Polygon,6084,6084,Riserva Regionale San Giuliano,0.0,2000,ITA
7903,Polygon,16265,16265,Kuebebierg,0.0,2002,LUX
7908,Polygon,16368,16368,Brill,0.0,2007,LUX
7922,Polygon,15603,15603,Markovi Kuli,0.0,2006,MKD
7929,Polygon,11707,11707,Il-Gżejjer Ta' Filfa,0.0,2002,MLT
7945,Polygon,14816,14816,Il-Qiegħ Tal-Wied Minn Ta' Blankas Sal-Bajja Ta' Mġarr Ix-Xini,0.0,2001,MLT
7947,Polygon,14819,14819,"Wied Ix-Xlendi, Wied Il-Lunzjata U L-Inħawi Tagħhom, Fil-Limiti Ta' Kerċem, Il-Munxar, Fontana U R-Rabat (Għawdex)",0.0,2000,MLT
7950,Polygon,14831,14831,"Il-Gżejjer Ta' San Pawl (Selmunett), Limiti Tal-Mellieħa",0.0,2002,MLT
7951,Polygon,14834,14834,"Ġebel Ta' Bejn Il-Kmiemen, Limiti Ta' Għajnsielem",0.0,2002,MLT
7952,Polygon,15212,15212,"Il-Ġebla Tal-Ġeneral, Limiti Ta' San Lawrenz",0.0,2002,MLT
7957,Polygon,12328,12328,Grytdalen,0.0,2014,NOR
7964,Polygon,3200,3200,Nord-Fugløya,0.0,2004,NOR
7966,Polygon,3202,3202,Øra,0.0,2010,NOR
7972,Polygon,6170,6170,Kurefjorden,0.0,2010,NOR
7976,Polygon,832,832,Øvre Pasvik,0.0,2003,NOR
7977,Polygon,3207,3207,Karlsøyvær,0.0,2002,NOR
7984,Polygon,6173,6173,Ilene,0.0,2012,NOR
7985,Polygon,9910,9910,Jærstrendene,0.0,2003,NOR
7989,Polygon,830,830,Stabbursdalen,0.0,2002,NOR
7996,Polygon,828,828,Blåfjella-Skjækerfjella/Låarte-Skæhkere,0.0,2015,NOR
7997,Polygon,3203,3203,Smoldalen,0.0,2005,NOR
8000,Polygon,1975,1975,Tatransky,0.0,2003,SVK
8001,Polygon,12159,12159,Biele Karpaty,0.0,2003,SVK
8003,Polygon,6172,6172,Presterødkilen,0.0,2012,NOR
8008,Polygon,824,824,Øvre Dividal,0.0,2006,NOR
8010,Polygon,6137,6137,Tautra,0.0,2003,NOR
8012,Polygon,826,826,Femundsmarka,0.0,2003,NOR
8015,Polygon,825,825,Rondane,0.0,2003,NOR
8016,Polygon,4657,4657,Jotunheimen,0.0,2014,NOR
8017,Polygon,9911,9911,Utladalen,0.0,2014,NOR
8019,Polygon,823,823,Børgefjell/Byrkije,0.0,2003,NOR
8025,Polygon,833,833,Gutulia,0.0,2004,NOR
8027,Polygon,9890,9890,Kvisleflået Og Hovdlia,0.0,2005,NOR
8127,Polygon,11366,11366,Jezioro Długie,0.0,2009,POL
8173,Polygon,11272,11272,Woskownica,0.0,2013,POL
8309,Polygon,9388,9388,Corbu - Nuntași - Histria,0.0,2000,ROU
8313,Polygon,14580,14580,Turbăria Lăptici,0.0,2000,ROU
8314,Polygon,14586,14586,Izvorul De La Corbii Ciungi,0.0,2000,ROU
8325,Polygon,9378,9378,Cheile Turzii,0.0,2000,ROU
8335,Polygon,14600,14600,Peștera Tăușoare,0.0,2000,ROU
8339,Polygon,9375,9375,Piatra Craiului,0.0,2000,ROU
8342,Polygon,11775,11775,Muntele Tâmpa,0.0,2000,ROU
8343,Polygon,11779,11779,Pădurea Bogății,0.0,2000,ROU
8352,Polygon,11772,11772,Pădurea Canaraua Fetii,0.0,2000,ROU
8355,Polygon,11184,11184,Complexul Sacalin Zătoane,0.0,2000,ROU
8356,Polygon,9383,9383,Pădurea Valea Fagilor,0.0,2000,ROU
8357,Polygon,14605,14605,Rezervația Geologică Agighiol,0.0,2000,ROU
8359,Polygon,11763,11763,Pădurea Hârboanca,0.0,2000,ROU
8361,Polygon,11155,11155,Parcul Natural Comana,0.0,2005,ROU
8365,Polygon,11765,11765,Pădurea Tismana - Pocruia,0.0,2000,ROU
8366,Polygon,11158,11158,Tinovul Luci,0.0,2000,ROU
8368,Polygon,14610,14610,Mlaștina Valea De Mijloc,0.0,2000,ROU
8369,Polygon,11756,11756,Mlaștina Borșaroș - Sâncrăieni,0.0,2000,ROU
8370,Polygon,9372,9372,Lacul Sfânta Ana,0.0,2000,ROU
8371,Polygon,14597,14597,Tinovul Mohoș,0.0,2000,ROU
8378,Polygon,11760,11760,Pădurea Snagov,0.0,2000,ROU
8385,Polygon,11178,11178,Cheile Bicazului,0.0,2000,ROU
8389,Polygon,14591,14591,Muntele De Sare Slănic Prahova,0.0,2000,ROU
8392,Polygon,11788,11788,Mlaștina Vermeș,0.0,2000,ROU
8397,Polygon,11161,11161,Tinovul Găina - Lucina,0.0,2000,ROU
8399,Polygon,11770,11770,Răchitișul Mare,0.0,2000,ROU
8419,Polygon,16401,16401,Golija,0.0,2001,SRB
8420,Polygon,16406,16406,Jegricka,0.0,2005,SRB
8428,Polygon,16396,16396,Tikvara,0.0,2015,SRB
8429,Polygon,16408,16408,Kamaras,0.0,2005,SRB
8432,Polygon,14285,14285,Vrsatske Bradla,0.0,2004,SVK
8434,Polygon,16759,16759,Krasin,0.0,2004,SVK
8436,Polygon,14119,14119,Sulovske Skaly,0.0,2004,SVK
8439,Polygon,16782,16782,Zlatniansky Luh,0.0,2004,SVK
8442,Polygon,16780,16780,Vrsok,0.0,2004,SVK
8443,Polygon,14766,14766,Burdov,0.0,2004,SVK
8444,Polygon,16771,16771,Szaboova Skala,0.0,2004,SVK
8445,Polygon,16769,16769,Kamenne More,0.0,2004,SVK
8446,Polygon,16781,16781,Kameninske Slanisko,0.0,2004,SVK
8447,Polygon,16770,16770,Bralce,0.0,2004,SVK
8449,Polygon,16767,16767,Kasivarova,0.0,2004,SVK
8450,Polygon,16778,16778,Sramkova,0.0,2004,SVK
8451,Polygon,14111,14111,Rozsutec,0.0,2004,SVK
8456,Polygon,14129,14129,Sutovska Dolina,0.0,2004,SVK
8457,Polygon,16783,16783,Sedliska,0.0,2004,SVK
8458,Polygon,14141,14141,Sitno,0.0,2004,SVK
8459,Polygon,16765,16765,Devinska Kobyla,0.0,2004,SVK
8460,Polygon,16643,16643,Holy Vrch,0.0,2004,SVK
8461,Polygon,14118,14118,Zadna Polana,0.0,2004,SVK
8462,Polygon,14288,14288,Prosiecka Dolina,0.0,2004,SVK
8463,Polygon,14136,14136,Choc,0.0,2004,SVK
8465,Polygon,14287,14287,Boky,0.0,2004,SVK
8466,Polygon,16784,16784,Janosikova Skala,0.0,2004,SVK
8467,Polygon,16772,16772,Badinsky Prales,0.0,2004,SVK
8468,Polygon,14133,14133,Stuzica,0.0,2004,SVK
8469,Polygon,14286,14286,Vtacnik,0.0,2004,SVK
8470,Polygon,14132,14132,Tlsta,0.0,2004,SVK
8471,Polygon,14135,14135,Horny Les,0.0,2004,SVK
8473,Polygon,14130,14130,Gombasecka Jaskyna,0.0,2011,SVK
8475,Polygon,16775,16775,Priboj,0.0,2004,SVK
8476,Polygon,14123,14123,Demanovske Jaskyne,0.0,2009,SVK
8477,Polygon,14116,14116,Ohniste,0.0,2004,SVK
8478,Polygon,14138,14138,Janska Dolina,0.0,2004,SVK
8479,Polygon,14125,14125,Salatin,0.0,2004,SVK
8480,Polygon,14122,14122,Demanovska Dolina,0.0,2004,SVK
8483,Polygon,14114,14114,Dumbier,0.0,2004,SVK
8485,Polygon,12155,12155,Male Karpaty,0.0,2001,SVK
8486,Polygon,12161,12161,Polana,0.0,2001,SVK
8492,Polygon,14146,14146,Cerova Vrchovina,0.0,2001,SVK
8495,Polygon,4376,4376,Slovensky Kras,0.0,2002,SVK
8497,Polygon,4378,4378,Velka Fatra,0.0,2002,SVK
8498,Polygon,12160,12160,Horna Orava,0.0,2003,SVK
8499,Polygon,12157,12157,Vychodne Karpaty,0.0,2001,SVK
8500,Polygon,9776,9776,Sur,0.0,2009,SVK
8515,Polygon,10409,10409,2000603 Sydbillingens Platå,0.0,2006,SWE
8516,Polygon,151517,151517,2002698 Bokenäs,0.0,2006,SWE
8521,Polygon,10429,10429,2000795 Rörö,0.0,2008,SWE
8527,Polygon,151512,151512,2000594 Bockaskedeåsen-Toran,0.0,2007,SWE
8528,Polygon,151370,151370,2001905 Älgberget,0.0,2009,SWE
8530,Polygon,3997,3997,2000931 Skuleskogen,0.0,2009,SWE
8531,Polygon,151348,151348,2001389 Parkudden-Lövsta,0.0,2010,SWE
8532,Polygon,151519,151519,2001728 Bokö,0.0,2007,SWE
8537,Polygon,151444,151444,2000858 Bälingeberget,0.0,2004,SWE
8541,Polygon,151523,151523,2000573 Bölets Ängar,0.0,2008,SWE
8553,Polygon,151504,151504,2000465 Bläcktärnsjön,0.0,2010,SWE
8558,Polygon,151468,151468,2000813 Bestorp,0.0,2012,SWE
8566,Polygon,151351,151351,2002582 Teleborg,0.0,2012,SWE
8569,Polygon,151463,151463,2002235 Bergholmen-Stora Kalvö,0.0,2010,SWE
8573,Polygon,151480,151480,2000249 Björka Lertag,0.0,2012,SWE
8581,Polygon,151451,151451,2000556 Baståsen,0.0,2013,SWE
8582,Polygon,151423,151423,2000862 Ätnarova,0.0,2009,SWE
8594,Polygon,10420,10420,2000875 Stora Nassa,0.0,2013,SWE
8604,Polygon,151487,151487,2000197 Björskogsnäs,0.0,2008,SWE
8605,Polygon,151400,151400,2001863 Årby,0.0,2011,SWE
8611,Polygon,6899,6899,2001729 Svensksundsviken,0.0,2015,SWE
8630,Polygon,1395,1395,2002203 Bullerö,0.0,2008,SWE
8633,Polygon,151457,151457,2002691 Beijershamn,0.0,2009,SWE
8638,Polygon,1385,1385,2000861 Serri,0.0,2005,SWE
8639,Polygon,10411,10411,2002163 Värmlandsskärgården,0.0,2014,SWE
8642,Polygon,151366,151366,2002725 Alby,0.0,2002,SWE
8647,Polygon,151482,151482,2001380 Björkenäs,0.0,2008,SWE
8648,Polygon,151485,151485,2001280 Björknäs Domänreservat,0.0,2009,SWE
8662,Polygon,10430,10430,2001695 Väggö,0.0,2010,SWE
8666,Polygon,151371,151371,2002252 Ålhults Urskog,0.0,2007,SWE
8668,Polygon,151350,151350,2002030 Tattby,0.0,2005,SWE
8671,Polygon,151419,151419,2000354 Assbergs Raviner,0.0,2000,SWE
8684,Polygon,10433,10433,2002222 Brattforsheden,0.0,2004,SWE
8686,Polygon,151431,151431,2001562 Bäckhalladalen,0.0,2003,SWE
8691,Polygon,151522,151522,2001081 Bölarp,0.0,2007,SWE
8692,Polygon,10436,10436,2000380 Halle- Och Hunnebergs Platåer,0.0,2008,SWE
8696,Polygon,151497,151497,2000653 Björntjärnsskogen,0.0,2013,SWE
8699,Polygon,151511,151511,2001498 Boarps Hed,0.0,2006,SWE
8706,Polygon,151404,151404,2001711 Arnö,0.0,2008,SWE
8716,Polygon,5004,5004,Aldabra Atoll,157.71849813639,2010,SYC
8720,Polygon,151439,151439,2001668 Balberget,0.0,2006,SWE
8724,Polygon,151387,151387,2000895 Andersön,0.0,2013,SWE
8731,Polygon,1388,1388,2001548 Klingavälsåns Dalgång,0.0,2013,SWE
8735,Polygon,151509,151509,2000293 Bleckbergens Urskog,0.0,2011,SWE
8736,Polygon,6916,6916,2000933 Hamra,0.0,2011,SWE
8737,Polygon,151477,151477,2000967 Bjärekustens Naturreservat,0.0,2013,SWE
8746,Polygon,151464,151464,2001286 Bergmyrberget,0.0,2010,SWE
8751,Polygon,151516,151516,2000466 Bodagrottorna,0.0,2006,SWE
8778,Polygon,151410,151410,2001754 Åsabackarna,0.0,2001,SWE
8786,Polygon,151399,151399,2002392 Araby,0.0,2005,SWE
8788,Polygon,151406,151406,2002683 Arontorp,0.0,2009,SWE
8793,Polygon,151478,151478,2001801 Bjersjöholms Ädellövskog,0.0,2010,SWE
8805,Polygon,346,346,Mali I Tomorrit,0.0,2012,ALB
8806,Polygon,344,344,Mali I Dajtit,0.0,2006,ALB
8807,Polygon,11661,11661,Kune-Vain-Tale,0.0,2010,ALB
8808,Polygon,11663,11663,Patok-Fushekuqe-Ishem,0.0,2010,ALB
8811,Polygon,4679,4679,Divjake-Karavasta,0.0,2007,ALB
8845,Polygon,12650,12650,Bosawas,0.0,2001,NIC
8846,Polygon,234,234,Cerro Saslaya,0.0,2001,NIC
8854,Polygon,12669,12669,Cerro Kilambé,0.0,2001,NIC
8855,Polygon,12668,12668,Cerro Bana Cruz ,0.0,2001,NIC
8857,Polygon,12654,12654,Macizos de Peñas Blancas,0.0,2001,NIC
8867,Polygon,1122,1122,Band-i-Amir National Park,0.0,2009,AFG
8906,Polygon,13632,13632,Cayo Largo,680.35,2001,CUB
8907,Polygon,13580,13580,Cerro Galano,0.0,2001,CUB
8908,Polygon,13615,13615,Sierra del Chorrillo,0.0,2001,CUB
8910,Polygon,13444,13444,Baitiquirí,15.49,2010,CUB
8911,Polygon,13582,13582,Pico La Bayamesa,0.0,2012,CUB
8914,Polygon,2124,2124,Galloway and South Ayrshire Biosphere,0.0,2012,GBR
8918,Polygon,2126,2126,North Devon Biosphere,0.0,2002,GBR
8919,Polygon,2123,2123,Biosffer Dyfi,0.0,2009,GBR
8930,Polygon,12564,12564,Punta de Manabique,294.76,2005,GTM
8936,Polygon,5086,5086,Boucle du Baoulé Biosphere Reserve,0.0,2001,MLI
8955,Polygon,9035,9035_B,Quirimbas,0.0,2002,MOZ
8959,Polygon,801,801_B,Gorongoza,0.0,2010,MOZ
9020,Polygon,4035,4035,Camdeboo National Park,0.0,2005,ZAF
9040,Polygon,4766,4766,Happy Rest Nature Reserve,0.0,2014,ZAF
9078,Polygon,17831,17831,Coiba,2017.81845,2004,PAN
9128,Polygon,9444,9444,Río Simpsom,0.0,2000,CHL
9167,Polygon,16248,16248,"State Nature Sanctuary ""Karatal Sands"" (botanical) ",0.0,2001,KAZ
9168,Polygon,17416,17416,Tarbagatay State Nature Sanctuary (zoological),0.0,2001,KAZ
9169,Polygon,16249,16249,Kogashik State Nature Sanctuary (botanical),0.0,2001,KAZ
9170,Polygon,15878,15878,Belagash State Nature Sanctuary (zoological),0.0,2001,KAZ
9171,Polygon,16231,16231,Kyzylaray State Nature Sanctuary (zoological),0.0,2001,KAZ
9172,Polygon,16228,16228,State Nature Sanctuary Karaagash (zoological),0.0,2001,KAZ
9173,Polygon,16242,16242,Timurskiy State Nature Sanctuary (botanical),0.0,2001,KAZ
9174,Polygon,16247,16247,"State Nature Sanctuary ""Karakonuz Tract"" (botanical)",0.0,2001,KAZ
9175,Polygon,16234,16234,Akdala State Nature Sanctuary (botanical),0.0,2001,KAZ
9176,Polygon,16246,16246,"State Nature Sanctuary ""Berkara Tract"" (complex)",0.0,2001,KAZ
9177,Polygon,16251,16251,Orlinogor State Nature Sanctuary (botanical),0.0,2001,KAZ
9178,Polygon,16241,16241,State Nature Sanctuary Zadarya (botanical),0.0,2001,KAZ
9179,Polygon,16233,16233,Ulytau State Nature Sanctuary (zoological),0.0,2001,KAZ
9221,Polygon,3961,3961,Rajang Mangrove National Park,0.0,2000,MYS
9223,Polygon,9817,9817,Santubong National Park,0.0,2007,MYS
9227,Polygon,3468,3468,Ulu Kalumpang,0.0,2013,MYS
9250,Polygon,786,786,Similajau National Park,0.0,2013,MYS
9260,Polygon,18251,18251,Samunsam,0.0,2000,MYS
9264,Polygon,1300,1300,Lanjak Entimau,0.0,2013,MYS
9265,Polygon,9821,9821,Sibuti,0.0,2000,MYS
9266,Polygon,787,787,Gunung Mulu National Park,0.0,2011,MYS
9267,Polygon,9819,9819,Pulong Tau National Park,0.0,2013,MYS
9271,Polygon,14541,14541,Usun Apau National Park,0.0,2005,MYS
9272,Polygon,14538,14538,Bruit National Park,0.0,2013,MYS
9273,Polygon,18253,18253,Maludam National Park,0.0,2015,MYS
9290,Polygon,8794,8794,Kulamba,0.0,2010,MYS
9292,Polygon,10279,10279,Danum Valley,0.0,2012,MYS
9303,Polygon,3406,3406,Kabili Sepilok,0.0,2010,MYS
9309,Polygon,9878,9878,Lungmanis,0.0,2010,MYS
9325,Polygon,9825,9825,Sungai Simpang & Simpang (Extension),0.0,2010,MYS
9354,Polygon,3574,3574,Pelagat,0.0,2008,MYS
9355,Polygon,3839,3839,Hulu Nerus,0.0,2008,MYS
9356,Polygon,3822,3822,Bukit Kesing,0.0,2008,MYS
9357,Polygon,3562,3562,Gunong Tebu,0.0,2008,MYS
9358,Polygon,3827,3827,Jerangau,0.0,2008,MYS
9359,Polygon,3825,3825,Jambu Bongkok,0.0,2008,MYS
9360,Polygon,3821,3821,Bukit Bauk,0.0,2008,MYS
9361,Polygon,3834,3834,Rasau Kertih,0.0,2008,MYS
9362,Polygon,3826,3826,Jengai,0.0,2008,MYS
9363,Polygon,3820,3820,Besul,0.0,2008,MYS
9366,Polygon,3649,3649,Galla,0.0,2001,MYS
9370,Polygon,3757,3757,Piah,0.0,2007,MYS
9371,Polygon,3746,3746,Kledang Saiong,0.0,2007,MYS
9372,Polygon,3743,3743,Ijok,0.0,2007,MYS
9373,Polygon,3726,3726,Behrang,0.0,2007,MYS
9374,Polygon,3730,3730,Bubu,0.0,2007,MYS
9376,Polygon,3729,3729,Bintang Hijau,0.0,2007,MYS
9377,Polygon,3662,3662,Senaling Inas,0.0,2001,MYS
9378,Polygon,3526,3526,Bukit Larut,0.0,2007,MYS
9379,Polygon,3747,3747,Korbu,0.0,2007,MYS
9380,Polygon,3764,3764,Bukit Slim,0.0,2007,MYS
9381,Polygon,3731,3731,Bukit Kinta,0.0,2007,MYS
9382,Polygon,3719,3719,(Ulu) Teranum,0.0,2002,MYS
9383,Polygon,3668,3668,Balok,0.0,2002,MYS
9384,Polygon,3679,3679,Cherating,0.0,2002,MYS
9385,Polygon,3701,3701,Rompin,0.0,2002,MYS
9386,Polygon,3700,3700,Pontian,0.0,2002,MYS
9387,Polygon,3671,3671,Bebar,0.0,2002,MYS
9388,Polygon,3705,3705,Sungai Miang,0.0,2002,MYS
9389,Polygon,3697,3697,Mentigi,0.0,2002,MYS
9390,Polygon,3689,3689,Lakum,0.0,2002,MYS
9391,Polygon,3686,3686,Kemasul,0.0,2002,MYS
9392,Polygon,3682,3682,Jengka,0.0,2002,MYS
9395,Polygon,3646,3646,Angsi,0.0,2001,MYS
9396,Polygon,3690,3690,Lentang,0.0,2002,MYS
9397,Polygon,3666,3666,Tebong,0.0,2001,MYS
9398,Polygon,3661,3661,Pelangai,0.0,2001,MYS
9399,Polygon,3561,3561,Gunung Pulai,0.0,2007,MYS
9400,Polygon,3474,3474,Gunung Ledang,0.0,2007,MYS
9401,Polygon,3559,3559,Gunung Arong,0.0,2008,MYS
9402,Polygon,3572,3572,Mersing,0.0,2008,MYS
9403,Polygon,3565,3565,Kluang,0.0,2008,MYS
9404,Polygon,3568,3568,Labis,0.0,2008,MYS
9408,Polygon,3774,3774,Ayer Hitam (Additional),0.0,2009,MYS
9409,Polygon,3674,3674,"Bukit Beserah, Bukit Pelindung, Teluk Chempedak",0.0,2010,MYS
9410,Polygon,3712,3712,Terenggun,0.0,2010,MYS
9412,Polygon,3500,3500,Berembun,0.0,2001,MYS
9413,Polygon,3550,3550,Banang,0.0,2007,MYS
9415,Polygon,3587,3587,Ulu Sedili,0.0,2008,MYS
9416,Polygon,3648,3648,Berembun,0.0,2008,MYS
9417,Polygon,3773,3773,Pasoh,0.0,2008,MYS
9418,Polygon,3665,3665,Sungai Menyala,0.0,2008,MYS
9419,Polygon,3718,3718,Ulu Lemoi,0.0,2002,MYS
9420,Polygon,3626,3626,Chabang Tongkat,0.0,2007,MYS
9421,Polygon,3702,3702,"Sungai Sia, Batu Talam, Rotan Tunggal",0.0,2002,MYS
9422,Polygon,3685,3685,"Rotan Tunggal, Kelau",0.0,2002,MYS
9423,Polygon,3683,3683,Jerantut,0.0,2002,MYS
9424,Polygon,3651,3651,Tampin,0.0,2008,MYS
9425,Polygon,3678,3678,Bukit Tinggi,0.0,2002,MYS
9426,Polygon,3715,3715,"Gunung Siku, Terla, Batu Gangan, Ulu Bertam, Mentigi, Ringlet",0.0,2002,MYS
9428,Polygon,3597,3597,Chebar Besar,0.0,2007,MYS
9429,Polygon,3624,3624,Ulu Muda,0.0,2007,MYS
9430,Polygon,3613,3613,Pedu,0.0,2007,MYS
9433,Polygon,3706,3706,"Batu Talam, Sungai Sia",0.0,2002,MYS
9434,Polygon,3638,3638,Ulu Temiang,0.0,2007,MYS
9435,Polygon,3627,3627,Jedok,0.0,2007,MYS
9521,Polygon,13912,13912,Bear River Migratory,0.0,2000,USA
9652,Polygon,3370,3370,Tambopata,0.0,2000,PER
9660,Polygon,7219,7219,Central Cebu Protected Landscape,0.0,2007,PHL
9662,Polygon,10325,10325,Magapit Protected Landscape,0.0,2000,PHL
9667,Polygon,14753,14753,Malampaya Sound Protected Landscape,1121.71342,2000,PHL
9684,Polygon,841,841,Mts. Banahaw-San Cristobal Protected Landscape,0.0,2009,PHL
9810,Polygon,18232,18232,Silent Lake Provincial Park (Natural Environment Class),0.0,2000,CAN
9823,Polygon,4168,4168_D,Whiteshell Provincial Park,0.0,2014,CAN
10025,Polygon,14075,14075,Shoal Bay and Island Harbour Reefs,17.777684,2007,GBR
